기업명,사건번호,신청일,법원,업종,뉴스건수,수집일시
"주식회사 뷰티메디칼","2025간회합290",2025-12-09,"서울회생법원","",0,2026-05-03
"주식회사 동산테크","2025회합119",2025-12-09,"서울회생법원","",2,2026-05-03
"주식회사 티케이케이","2025간회합106",2025-12-09,"서울회생법원","",0,2026-05-03
"유한회사 광레이저","2025간회합5008",2025-12-08,"광주지방법원","",0,2026-05-03
"주식회사 신광테크","2025회합1021",2025-12-08,"부산회생법원","",0,2026-05-03
"주식회사 아트한글로벌홀딩스","2025간회합289",2025-12-08,"서울회생법원","",3,2026-05-03
"동양교통 주식회사","2025회합10012",2025-12-08,"창원지방법원","",2,2026-05-03
"케이스물류 주식회사","2025간회합10003",2025-12-08,"창원지방법원","",0,2026-05-03
"주식회사 대영씨엠에스","2025회합337",2025-12-05,"서울회생법원","",0,2026-05-03
"주식회사 정우계육","2025간회합114",2025-12-05,"수원회생법원","",0,2026-05-03
"한국신텍스제약 주식회사","2025회합1026",2025-12-05,"전주지방법원","",0,2026-05-03
"주식회사 보운","2025간회합103",2025-12-04,"서울회생법원","",0,2026-05-03
"제일여객자동차 주식회사","2025회합289",2025-12-04,"서울회생법원","",0,2026-05-03
"주식회사 마미버드","2025간회합115",2025-12-04,"서울회생법원","",0,2026-05-03
"(주)우일개발","2025간회합1000",2025-12-03,"대구지방법원","",2,2026-05-03
"주식회사 틴팩토리","2025간회합275",2025-12-03,"서울회생법원","",0,2026-05-03
"주식회사 아이엠무역","2025간회합285",2025-12-03,"서울회생법원","",1,2026-05-03
"주식회사 동화에너지","2025간회합1026",2025-12-02,"대전지방법원","",4,2026-05-03
"주식회사 케어마일","2025회합328",2025-12-02,"서울회생법원","",0,2026-05-03
"주식회사 퀸즈아로마","2025회합336",2025-12-02,"서울회생법원","",0,2026-05-03
"주식회사 로엠그룹","2025간회합284",2025-12-02,"서울회생법원","",0,2026-05-03
"주식회사 시드메탈","2025간회합161",2025-12-01,"수원회생법원","",0,2026-05-03
"주식회사 에이치앤에이치메가나인","2025간회합131",2025-12-01,"수원회생법원","",0,2026-05-03
"아이엔건설 주식회사","2025간회합125",2025-12-01,"수원회생법원","",0,2026-05-03
